path	line	matched_text	classification	reason	recommended_action
docs/agile/decisions.md	881	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	899	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	917	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	934	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	965	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	983	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	1195	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	1234	全局索引	D	DECISION-114	无需修改
docs/agile/decisions.md	1238	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	1239	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	1241	sprints/sprint-	C	历史 Decision	保留
docs/agile/decisions.md	1242	releases/release-	C	历史 Decision	保留
docs/agile/decisions.md	1244	sprint-backlog.md	C	历史 Decision	保留
docs/agile/decisions.md	1245	release-plan.md	C	历史 Decision	保留
docs/agile/decisions.md	1246	primaryRelease	C	历史 Decision	保留
docs/agile/decisions.md	1247	Sprint Backlog	C	历史 Decision	保留
docs/agile/decisions.md	1248	独立目录	C	历史 Decision	保留
docs/agile/decisions.md	1249	全局索引	C	历史 Decision	保留
docs/governance/s12-current-system-audit.md	39	release-plan.md	B	S12 初始审计历史结论（审计时点状态）	保留，不重写
docs/governance/s12-current-system-audit.md	40	sprint-plan.md	B	S12 初始审计历史结论（审计时点状态）	保留，不重写
docs/governance/s12-current-system-audit.md	41	sprint-backlog.md	B	S12 初始审计历史结论（审计时点状态）	保留，不重写
docs/governance/s12-current-system-audit.md	74	Sprint Backlog	B	S12 初始审计历史结论（审计时点状态）	保留，不重写
docs/governance/s12-current-system-audit.md	86	sprint-backlog.md	B	S12 初始审计历史结论（审计时点状态）	保留，不重写
docs/governance/s12-current-system-audit.md	103	sprint-backlog.md	B	S12 初始审计历史结论（审计时点状态）	保留，不重写
docs/governance/s12-current-system-audit.md	114	sprint-plan.md	B	S12 初始审计历史结论（审计时点状态）	保留，不重写
docs/governance/s12-current-system-audit.md	115	sprint-backlog.md	B	S12 初始审计历史结论（审计时点状态）	保留，不重写
docs/governance/s12-current-system-audit.md	129	release-plan.md	B	S12 初始审计历史结论（审计时点状态）	保留，不重写
docs/governance/s12-current-system-audit.md	130	sprint-plan.md	B	S12 初始审计历史结论（审计时点状态）	保留，不重写
docs/governance/s12-current-system-audit.md	131	sprint-backlog.md	B	S12 初始审计历史结论（审计时点状态）	保留，不重写
docs/governance/s12-current-system-audit.md	142	sprint-backlog.md	D	审计报告前向结构结论	无需修改
docs/governance/s12-current-system-audit.md	147	每个 Sprint	D	审计报告前向结构结论	无需修改
docs/governance/s12-current-system-audit.md	150	独立目录	D	审计报告前向结构结论	无需修改
docs/governance/s12-current-system-audit.md	165	release-plan.md	B	审计报告历史分析	保留
docs/governance/s12-current-system-audit.md	166	sprint-backlog.md	B	审计报告历史分析	保留
docs/governance/s12-current-system-audit.md	167	sprint-backlog.md	B	审计报告历史分析	保留
docs/governance/s12-current-system-audit.md	187	sprint-backlog.md	B	审计报告历史分析	保留
docs/governance/s12-current-system-audit.md	189	Release Backlog	D	审计报告前向结构结论	无需修改
docs/agile/sprint10-database-backed-style-admin-v1.md	76	sprint-backlog.md	B	历史 Sprint 专项文档	保留
docs/agile/execution-reports/2026-06-01-s4b-structured-copy-snapshot-paste-plan.md	29	sprint-backlog.md	C	历史 execution report	保留
docs/agile/execution-reports/2026-06-01-s4b-structured-copy-snapshot-paste-plan.md	48	sprint-backlog.md	C	历史 execution report	保留
docs/governance/s12-sprint-release-structure-residual-audit.md	29	全局索引	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	37	Sprint Backlog	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	45	Sprint Backlog	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	48	Release 目录内包含 Sprint	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	72	Sprint Backlog	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	73	全局索引	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	90	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	92	每个 Sprint	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	98	Release Backlog	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	100	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	101	Release Backlog	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	102	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	103	独立目录	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	104	release-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	105	sprint-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	106	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	112	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	130	全局索引	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	132	全局索引	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	137	release-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	138	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-audit.md	139	sprint-plan.md	D	审计材料自身	无需修改
docs/agile/sprint-backlog.md	1	Sprint Backlog	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/sprint-backlog.md	3	全局索引	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/sprint-backlog.md	91	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	250	每个 Sprint	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	259	每个 Sprint	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	308	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	350	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	382	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	507	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	508	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	705	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	706	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	959	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	960	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	1229	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	1230	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	1576	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	1577	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	1653	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	1740	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	1820	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	1899	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	1961	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	1988	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	1989	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	2014	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	2015	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	2036	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	2085	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	2086	sprint-plan.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	2329	sprint-backlog.md	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	2869	Sprint Backlog	B	sprint-backlog.md 历史正文	保留
docs/agile/sprint-backlog.md	3749	release-plan.md	B	sprint-backlog.md 历史正文	保留
.cursor/rules/collaboration-rules.mdc	66	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/execution-reports/2026-05-30-s1b-component-dsl-style-system-alignment.md	29	sprint-plan.md	C	历史 execution report	保留
docs/agile/execution-reports/2026-05-30-s1b-component-dsl-style-system-alignment.md	31	sprint-backlog.md	C	历史 execution report	保留
.cursor/rules/project-rules.mdc	34	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/project-rules.mdc	40	每个 Release	D	当前规范已对齐 DECISION-114	无需修改
.cursor/rules/project-rules.mdc	41	每个 Sprint	D	当前规范已对齐 DECISION-114	无需修改
docs/governance/product-governance-migration-plan.md	26	release-plan.md	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	27	sprint-plan.md	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	28	sprint-backlog.md	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	44	release-plan.md	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	45	sprint-backlog.md	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	60	Release Backlog	D	迁移计划引用	无需修改
docs/governance/product-governance-migration-plan.md	68	全局索引	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	72	release-plan.md	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	73	sprint-backlog.md	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	93	sprint-backlog.md	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	94	独立目录	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	95	primaryRelease	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	105	sprint-plan.md	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	107	release-plan.md	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	127	Sprint Backlog	D	迁移计划已明确 release-plan 索引与 releases/ 详细事实源	无需修改
docs/governance/product-governance-migration-plan.md	146	release-plan.md	D	迁移计划引用	无需修改
docs/governance/product-governance-target-model.md	22	Release Backlog	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	23	Sprint Backlog	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	54	sprint-backlog.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	55	sprints/sprint-	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	56	release-plan.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	57	sprint-backlog.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	93	sprint-backlog.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	94	sprints/sprint-	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	118	Release Backlog	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	120	release-plan.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	132	Sprint Backlog	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	134	sprint-backlog.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	177	release-plan.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	178	sprint-backlog.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	186	全局索引	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	188	sprint-backlog.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	194	release-plan.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	195	sprint-backlog.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	215	release-plan.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	219	releases/release-	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	220	Release Backlog	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	222	sprint-backlog.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	226	sprints/sprint-	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	229	Sprint Backlog	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	231	独立目录	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	233	每个 Sprint	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	234	每个 Release	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	243	primaryRelease	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	244	supportsReleases	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	246	sprintType	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	254	primaryRelease	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	255	supportsReleases	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	257	sprintType	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	262	primaryRelease	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	263	supportsReleases	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	264	sprintType	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	266	全局索引	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	272	Release Backlog	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	273	Sprint Backlog	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	280	Sprint Backlog	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	281	Release Backlog	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	282	primaryRelease	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	283	supportsReleases	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	287	独立目录	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	289	sprint-backlog.md	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	293	每个 Release	D	目标模型已明确双轨权威与索引职责	无需修改
docs/governance/product-governance-target-model.md	307	Release Backlog	D	目标模型已明确双轨权威与索引职责	无需修改
docs/agile/chatgpt-cursor-docs-workflow.md	63	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/chatgpt-cursor-docs-workflow.md	86	sprint-backlog.md	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/chatgpt-cursor-docs-workflow.md	87	独立目录	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/chatgpt-cursor-docs-workflow.md	98	全局索引	D	当前规范已对齐 DECISION-114	无需修改
docs/agile/changelog.md	339	release-plan.md	C	changelog 历史	保留
docs/agile/changelog.md	352	Sprint Backlog	C	changelog 历史	保留
docs/agile/changelog.md	887	sprint-backlog.md	C	changelog 历史	保留
docs/agile/changelog.md	907	全局索引	C	changelog 历史	保留
docs/agile/changelog.md	909	sprint-backlog.md	C	changelog 历史	保留
docs/agile/execution-reports/2026-06-10-s11-story-003a-staging-volcengine-streaming-numbering.md	46	sprint-backlog.md	C	历史 execution report	保留
docs/agile/execution-reports/2026-06-10-s11-story-003a-staging-volcengine-streaming-numbering.md	47	sprint-plan.md	C	历史 execution report	保留
docs/agile/execution-reports/2026-06-10-s11-story-003a-staging-volcengine-streaming-numbering.md	175	sprint-backlog.md	C	历史 execution report	保留
docs/agile/execution-reports/2026-05-30-s1b-final-audit.md	19	sprint-backlog.md	C	历史 execution report	保留
docs/agile/execution-reports/2026-05-30-s1b-final-audit.md	36	sprint-plan.md	C	历史 execution report	保留
docs/agile/execution-reports/2026-05-31-s2-inline-content-contract.md	34	sprint-backlog.md	C	历史 execution report	保留
docs/agile/sprint8-wechat-safe-css-contract.md	67	sprint-backlog.md	B	历史 Sprint 专项文档	保留
docs/agile/sprint8-wechat-safe-css-contract.md	95	release-plan.md	B	历史 Sprint 专项文档	保留
docs/agile/execution-reports/2026-06-04-s8-story-006b-fix-harvest-extraction-workflow.md	31	sprint-backlog.md	C	历史 execution report	保留
docs/agile/execution-reports/2026-06-04-s8-story-006b-fix-harvest-extraction-workflow.md	32	sprint-plan.md	C	历史 execution report	保留
docs/agile/execution-reports/2026-06-08-s10-story-011-integration-readiness.md	176	sprint-backlog.md	C	历史 execution report	保留
docs/agile/execution-reports/2026-06-08-s10-story-011-integration-readiness.md	177	sprint-plan.md	C	历史 execution report	保留
docs/governance/s12-sprint-release-structure-residual-matches.tsv	2	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	3	sprints/sprint-	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	4	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	5	全局索引	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	6	每个 Release	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	7	每个 Sprint	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	8	必须更新	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	9	releases/release-	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	10	release-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	11	sprints/sprint-	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	12	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	13	release-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	14	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	15	sprint-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	16	release-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	17	sprint-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	18	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	19	Sprint Backlog	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	20	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	21	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	22	sprint-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	23	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	24	release-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	25	sprint-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	26	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	27	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	28	每个 Sprint	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	29	独立目录	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	30	release-plan.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	31	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	32	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	33	sprint-backlog.md	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	34	Release Backlog	D	审计材料自身	无需修改
docs/governance/s12-sprint-release-structure-residual-matches.tsv	35	sprint-backlog.md	D	审计材料自身	无需修改
